pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,966.4750573056117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,966.4750573056117
